C2	41.53	21.59	0.00	1nF	0603
C3	58.17	21.72	0.00	1nF	0603
C4	75.44	21.72	0.00	1nF	0603
C5	32.51	25.78	90.00	1.0uF	0603
C6	49.40	25.78	90.00	1.0uF	0603
C7	66.23	25.78	90.00	1.0uF	0603
R1	41.53	18.67	0.00		R2512
R2	58.29	18.80	0.00		R2512
R5	75.56	18.80	0.00		R2512
U$3	57.79	35.05	0.00	DRV8305	PFB_S-PQFP-G48
